cycle,pangle,af,cmode
299,29.9666667,16.0483148,1.0,16.0
300,30.0,16.0717948,1.0,16.0
301,30.0333333,16.0945141,1.0,16.0
302,30.0666667,16.1165136,1.0,16.0
303,30.1,16.1378323,1.0,16.0
304,30.1333333,16.1585071,1.0,16.0
305,30.1666667,16.1785731,1.0,16.0
306,30.2,16.1980635,1.0,16.0
307,30.2333333,16.2170102,1.0,16.0
308,30.2666667,16.2354431,1.0,16.0
309,30.3,16.2533699,1.0,16.0
310,30.3333333,16.2707473,1.0,16.0
311,30.3666667,16.2875964,1.0,16.0
312,30.4,16.3039553,1.0,16.0
313,30.4333333,16.3198584,1.0,16.0
314,30.4666667,16.3353368,1.0,16.0
315,30.5,16.3504187,1.0,16.0
316,30.5333333,16.3651292,1.0,16.0
317,30.5666667,16.3794916,1.0,16.0
318,30.6,16.3935268,1.0,16.0
319,30.6333333,16.4072493,1.0,16.0
320,30.6666667,16.4205672,1.0,16.0
321,30.7,16.4334216,1.0,16.0
322,30.7333333,16.4458332,1.0,16.0
323,30.7666667,16.4578272,1.0,16.0
324,30.8,16.4694273,1.0,16.0
325,30.8333333,16.4806558,1.0,16.0
326,30.8666667,16.4915341,1.0,16.0
327,30.9,16.5020823,1.0,16.0
328,30.9333333,16.5123196,1.0,16.0
329,30.9666667,16.5222641,1.0,16.0
330,31.0,16.5319141,1.0,16.0
331,31.0333333,16.5412256,1.0,16.0
332,31.0666667,16.5502048,1.0,16.0
333,31.1,16.5588716,1.0,16.0
334,31.1333333,16.5672451,1.0,16.0
335,31.1666667,16.575343,1.0,16.0
336,31.2,16.5831823,1.0,16.0
337,31.2333333,16.5907794,1.0,16.0
338,31.2666667,16.5981495,1.0,16.0
339,31.3,16.6053072,1.0,16.0
340,31.3333333,16.6122639,1.0,16.0
341,31.3666667,16.6189865,1.0,16.0
342,31.4,16.6254568,1.0,16.0
343,31.4333333,16.6316889,1.0,16.0
344,31.4666667,16.6376984,1.0,16.0
345,31.5,16.6435004,1.0,16.0
346,31.5333333,16.649109,1.0,16.0
347,31.5666667,16.6545375,1.0,16.0
348,31.6,16.6597989,1.0,16.0
349,31.6333333,16.6649051,1.0,16.0
350,31.6666667,16.6698676,1.0,16.0
351,31.7,16.6746798,1.0,16.0
352,31.7333333,16.6792988,1.0,16.0
353,31.7666667,16.6837276,1.0,16.0
354,31.8,16.68798,1.0,16.0
355,31.8333333,16.6920691,1.0,16.0
356,31.8666667,16.6960073,1.0,16.0
357,31.9,16.6998062,1.0,16.0
358,31.9333333,16.7034771,1.0,16.0
359,31.9666667,16.7070305,1.0,16.0
360,32.0,16.7104765,1.0,16.0
361,32.0333333,16.7138212,1.0,16.0
362,32.0666667,16.7170287,1.0,16.0
363,32.1,16.72008,1.0,16.0
364,32.1333333,16.7229853,1.0,16.0
365,32.1666667,16.7257568,1.0,16.0
366,32.2,16.7284056,1.0,16.0
367,32.2333333,16.7309426,1.0,16.0
368,32.2666667,16.7333779,1.0,16.0
369,32.3,16.7357211,1.0,16.0
370,32.3333333,16.7379814,1.0,16.0
371,32.3666667,16.7401674,1.0,16.0
372,32.4,16.7422675,1.0,16.0
373,32.4333333,16.7442387,1.0,16.0
374,32.4666667,16.746085,1.0,16.0
375,32.5,16.7478175,1.0,16.0
376,32.5333333,16.7494469,1.0,16.0
377,32.5666667,16.7509834,1.0,16.0
378,32.6,16.7524365,1.0,16.0
379,32.6333333,16.7538153,1.0,16.0
380,32.6666667,16.7551284,1.0,16.0
381,32.7,16.756384,1.0,16.0
382,32.7333333,16.7575819,1.0,16.0
383,32.7666667,16.7586831,1.0,16.0
384,32.8,16.7596755,1.0,16.0
385,32.8333333,16.7605689,1.0,16.0
386,32.8666667,16.7613733,1.0,16.0
387,32.9,16.7620986,1.0,16.0
388,32.9333333,16.7627539,1.0,16.0
389,32.9666667,16.7633479,1.0,16.0
390,33.0,16.7638889,1.0,16.0
391,33.0333333,16.7643846,1.0,16.0
392,33.0666667,16.7648425,1.0,16.0
393,33.1,16.7652303,1.0,16.0
394,33.1333333,16.7655221,1.0,16.0
395,33.1666667,16.765726,1.0,16.0
396,33.2,16.7658519,1.0,16.0
397,33.2333333,16.7659092,1.0,16.0
398,33.2666667,16.7659067,1.0,16.0
399,33.3,16.765853,1.0,16.0
400,33.3333333,16.7657561,1.0,16.0
401,33.3666667,16.7656234,1.0,16.0
402,33.4,16.7654622,1.0,16.0
403,33.4333333,16.7652574,1.0,16.0
404,33.4666667,16.7649673,1.0,16.0
405,33.5,16.7645982,1.0,16.0
406,33.5333333,16.7641598,1.0,16.0
407,33.5666667,16.7636612,1.0,16.0
408,33.6,16.7631111,1.0,16.0
409,33.6333333,16.7625179,1.0,16.0
410,33.6666667,16.7618892,1.0,16.0
411,33.7,16.7612327,1.0,16.0
412,33.7333333,16.7605555,1.0,16.0
413,33.7666667,16.7597781,1.0,16.0
414,33.8,16.7586078,1.0,16.0
415,33.8333333,16.7570056,1.0,16.0
416,33.8666667,16.7550069,1.0,16.0
417,33.9,16.7526449,1.0,16.0
418,33.9333333,16.7499513,1.0,16.0
419,33.9666667,16.7469558,1.0,16.0
