cycle,real_drel,ow_drel,phi
345,49.028883500000006,49.0288835,12.28999180000001
346,48.96221909999997,48.9622191,12.23705131999997
347,48.900518199999965,48.9005182,12.185621239999968
348,48.84367240000006,48.8436724,12.135666240000063
349,48.791576599999985,48.7915765,12.087150659999985
350,48.744128599999954,48.7441286,12.040038099999954
351,48.701229399999875,48.7012293,11.994292139999878
352,48.66278200000011,48.662782,11.949875420000112
353,48.62869219999993,48.6286923,11.906750999999936
354,48.5988675000001,48.5988676,11.864881260000097
355,48.57321740000009,48.5732174,11.824229040000091
356,48.55165289999991,48.5516529,11.78475643999991
357,48.53408660000002,48.5340866,11.746426320000026
358,48.520432700000015,48.5204327,11.709201880000016
359,48.51060630000006,48.5106063,11.673046240000062
360,48.504523900000095,48.5045239,11.637923360000102
361,48.50210310000011,48.5021031,11.603797460000116
362,48.50326240000004,48.5032623,11.570633520000044
363,48.507921099999976,48.5079211,11.538397039999978
364,48.51599959999999,48.5159996,11.507054479999994
365,48.52741920000017,48.5274192,11.476573200000168
366,48.542101699999876,48.5421016,11.446920919999876
367,48.55996979999986,48.5599697,11.418066399999866
368,48.58094679999999,48.5809468,11.389979279999991
369,48.604957099999865,48.6049571,11.362630579999866
370,48.63192530000015,48.6319253,11.335991380000152
371,48.66177689999995,48.6617769,11.310034079999951
372,48.69443799999999,48.6944379,11.28473223999999
373,48.729835300000104,48.7298353,11.260059600000112
374,48.767896199999996,48.7678962,11.235991579999997
375,48.808548599999995,48.8085486,11.212504099999997
376,48.85172110000008,48.8517211,11.189573640000077
377,48.89734279999993,48.8973428,11.167178159999935
378,48.94534349999981,48.9453435,11.145295899999809
379,48.99565329999996,48.9956534,11.12390595999996
380,49.04820330000007,49.0482033,11.10298872000007
381,49.10292460000005,49.1029246,11.082524560000053
382,49.15974930000016,49.1597493,11.062495000000162
383,49.21860979999997,49.2186098,11.042882279999972
384,49.27943909999999,49.279439,11.023669099999992
385,49.34217049999984,49.3421705,11.00483873999984
386,49.40673830000014,49.4067382,10.986375760000143
387,49.47307670000009,49.4730767,10.968264480000094
388,49.541120900000124,49.5411209,10.950490220000127
389,49.61080609999999,49.6108062,10.933038719999992
390,49.68206860000009,49.6820686,10.915896680000095
391,49.75484439999991,49.7548445,10.899050639999913
392,49.82907060000002,49.8290706,10.882488240000022
393,49.90468450000003,49.9046845,10.866197180000036
394,49.9816237,49.9816237,10.850165740000001
395,50.05982640000002,50.0598265,10.834382800000022
396,50.13923150000005,50.1392315,10.818837800000054
397,50.219777699999895,50.2197777,10.803519979999898
398,50.3014048,50.3014048,10.788419820000001
399,50.384052499999825,50.3840525,10.773527279999826
400,50.46766129999992,50.4676613,10.758833679999917
401,50.55217189999985,50.5521719,10.744329979999854
402,50.63752550000004,50.6375256,10.730007920000041
403,50.72366669999997,50.7236667,10.715974079999967
404,50.81055530000003,50.8105553,10.702544700000033
405,50.89817879999987,50.8981789,10.690192379999871
406,50.9865585,50.9865585,10.679478820000007
407,51.07575130000009,51.0757513,10.671006500000097
408,51.16584909999983,51.1658492,10.665384899999836
409,51.256976399999985,51.2569763,10.663206119999984
410,51.34928500000001,51.349285,10.66502796000001
411,51.44295110000007,51.4429511,10.671365840000078
412,51.538168999999925,51.538169,10.682684959999932
413,51.63514719999989,51.6351472,10.699399059999898
414,51.73410349999995,51.7341035,10.721869999999953
415,51.835260900000094,51.8352609,10.750408840000098
416,51.93884409999987,51.9388441,10.785278639999866
417,52.04507560000002,52.0450756,10.826697140000022
418,52.15417349999984,52.1541735,10.874840439999844
419,52.26634880000006,52.2663489,10.929846880000063
420,52.38180349999993,52.3818035,10.991820179999934
421,52.50072870000008,52.5007287,11.06083300000008
422,52.62330380000003,52.6233038,11.136930480000032
423,52.74969520000013,52.7496952,11.220133280000134
424,52.88005599999997,52.880056,11.310440359999966
425,53.0145250999999,53.0145251,11.407831859999902
426,53.15322719999995,53.1532273,11.51227091999995
427,53.29627310000001,53.2962731,11.623706640000009
428,53.44375890000015,53.4437589,11.742074680000151
429,53.595766899999944,53.5957669,11.867300119999946
430,53.75236580000001,53.7523659,11.999298640000013
431,53.913611100000026,53.9136111,12.137977760000027
432,54.07954500000005,54.0795449,12.283237160000056
433,54.250197399999934,54.2501974,12.434970659999934
